ProductId,UserId,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Cleaned_Text,HelpfulnessRatio,ReviewLength,ReviewDate,ReviewYear,ReviewMonth,TextLength
B000JZYM8C,A242NQPTHNV2EN,6,17,1,7/31/2007,Yuck!,"This was the first Larabar product that I tried, and it was awful!  The bar smelled and tasted like Vicks Vaporub, which is not exactly a pleasant thing when you're talking about food.  I will definitely not be purchasing any of their other products after this awful experience.",first larabar product tried awful bar smelled tasted like vicks vaporub not exactly pleasant thing talking food definitely not purchasing product awful experience,0.352941176,48,7/31/2007,2007,7,278
B005CUU23S,ADP8ROI8NMNL2,1,7,1,11/29/2011,What?,"This was not at all what I expected. It was like the old-school roll-on deoderant from the 1970's. Only instead of fresh-scented anti-persperant, it was drippy, smelly, bacon-flavored dog juice.<br /><br />So I guess you're supposed to stoop down and hold the roll-on bottle in front of the dog while it licks the roller ball to get the dog juice on its tongue. You're supposed to do this without yacking from the smell. Meanwhile, there's a million dog treats out there that you can throw to the dog and he runs off and eats it and you're not doing deep knee bends to apply dog juice roll-on to your dog's already funky tongue.<br /><br />To say nothing of the fact that the dog just wants to take it and bite it. Like a dog would do.<br /><br />Try again. Fail.",not expected like oldschool rollon deoderant 1970 instead freshscented antipersperant drippy smelly baconflavored dog juiceso guess supposed stoop hold rollon bottle front dog lick roller ball get dog juice tongue supposed without yacking smell meanwhile million dog treat throw dog run eats not deep knee bend apply dog juice rollon dog already funky tongueto say nothing fact dog want take bite like dog would dotry fail,0.142857143,140,11/29/2011,2011,11,763
B000U96JEC,AHTZWRRB06B78,0,0,1,10/23/2012,overprices and faulty weight advertiesed,"Walden Farms dressings are very tasty.  When I ordered this, it said 12 12oz. bottles...and the weight is still listed at 10.4 lbs., package wt. still says 11 lbs.  Imagine my surprise when the $9.00+ was for only one bottle!!  I can purchase this same dressing locally for under $4.00.  Buyer beware!",walden farm dressing tasty ordered said 12 12oz bottlesand weight still listed 104 lb package wt still say 11 lb imagine surprise 900  bottle purchase dressing locally 400 buyer beware,0,52,10/23/2012,2012,10,301
B004EE0TYK,AHRASE2UFPFKK,0,0,1,2/26/2012,Mocha K-Cup,"A little too sweet for us. However we had no problem swapping it to a friend for some coffee we enjoyed much more. She actually loves the Mocha blend and drinks it frequently.<br />We were glad to have the ability to swap it.<br />Delivery was exceptional as always. Cannot think of a single fault of ""Prime Membership"".. Thanks Amazon.!!",little sweet u however no problem swapping friend coffee enjoyed much actually love mocha blend drink frequentlywe glad ability swap itdelivery exceptional always not think single fault prime membership thanks amazon,0,59,2/26/2012,2012,2,338
B0002QEFEE,AZ4UBAIST96L7,0,0,1,9/25/2011,Ruined our meal.  Anyone actually eat this stuff?,We purhcased a can of this sauce from Walmart to make enchiladas with.  No one would eat their meal because this sauce tasted so bad.  Not only does it taste bad it is also much hotter than a mild sauce.  Unless your taste buds are broke I would not purchase this stuff.,purhcased sauce walmart make enchilada no  would eat meal sauce tasted bad not taste bad also much hotter mild sauce unless taste bud broke would not purchase stuff,0,52,9/25/2011,2011,9,270
B0009DY554,A38AKD7TL2WWCR,0,2,1,6/1/2012,Did Nothing,I have no idea what all these reviews for this brand of dieters tea are talking about. I followed the directions nothing happened. Brewed a stronger cup-still nothing.Even measured out the water to 6oz and let the tea bag seep for five minutes-nothing just stronger tasting tea. On the box it tells you not to drink more than 1 cup in a 24 hour period- I drank three the other day not even thinking about it and nothing happened! Just tasted like cranberry tea and nothing else. Strange.,no idea review brand dieter tea talking followed direction nothing happened brewed stronger cupstill nothingeven measured water 6oz let tea bag seep five minutesnothing stronger tasting tea box tell not drink 1 cup 24 hour period drank three day not even thinking nothing happened tasted like cranberry tea nothing else strange,0,88,6/1/2012,2012,6,487
B0031P70LI,AGZHMY5UI2K93,11,11,1,12/15/2011,Ruining world's best beans,"Jamaican Blue Mountain coffee is one of, if not THE best coffees in the world.  Because of it's unique (and therefore valuable) flavor it is roasted very lightly.  It is one of the few coffees in the world that is smooth, when roasted lightly.  They should be almost cinnamon in color.  To my dismay when I opened the bag of Magnum, I saw oily over-roasted beans.  As expected, from their appearance, what I tasted was that over-roasted smokey/charcoal flavor overpowering any qualities of the beans.  IF these are truly high quality Jamaican Blue Mountain beans (which for the price they should be) it's a crime against nature to ruin them like this.  Leave this level of roasting to starbucks, to cover up the horrid quality of beans.  I bought these for less than half what they are listed for and even at that price, I give them a 1-star.",jamaican blue mountain coffee  not best coffee world unique therefore valuable flavor roasted lightly  coffee world smooth roasted lightly almost cinnamon color dismay opened bag magnum saw oily overroasted bean expected appearance tasted overroasted smokeycharcoal flavor overpowering quality bean truly high quality jamaican blue mountain bean price crime nature ruin like leave level roasting starbucks cover horrid quality bean bought less half listed even price give 1star,1,149,12/15/2011,2011,12,842
B000P38GT4,A1YE7P5S285TQ5,1,1,1,12/10/2011,Rock hard and inedible,"I was excited to have some seasonal items out of season, but I didn't know they would be three seasons old. They were so hard that I couldn't eat a single one and I had to throw them all away.",excited seasonal item season not know would three season old hard could not eat single  throw away,1,40,12/10/2011,2011,12,192
B0029O0EFG,A2O8XS3QNT0QN4,3,6,1,10/3/2011,It's Corn. Cats can't live on corn.,"This food is primarily corn: ground corn and corn meal. That food pyramid above the cat's head definitely doesn't represent what's in the food. I don't think most people would knowingly go out and buy corn for their cat. We associate cats with eating fish or poultry or mice. Definitely not ears of corn.<br /><br />And most of the meat is a byproduct, which is a low grade and questionable ingredient. So is ""animal fat."" It also contains wheat, which cats can easily be allergic to. This brand may be better than the bottom of the barrel cat foods, but it's still something to totally avoid. Purchase a cat food that is low in grains/carbs or has none at all. If it contains any then they should be wholegrain, like brown rice. No corn or byproducts.<br /><br />Your cat may seem fine on this food, but like a person eating fast food at every meal, you have to know there are healthier options out there and such poor dietary choices will catch up with you sometime.",food primarily corn ground corn corn meal food pyramid cat head definitely not represent food not think people would knowingly go buy corn cat associate cat eating fish poultry mouse definitely not ear cornand meat byproduct low grade questionable ingredient animal fat also contains wheat cat easily allergic brand may better bottom barrel cat food still something totally avoid purchase cat food low grainscarbs none contains wholegrain like brown rice no corn byproductsyour cat may seem fine food like person eating fast food every meal know healthier option poor dietary choice catch sometime,0.5,176,10/3/2011,2011,10,968
B003VXHGDM,A2AH0F4QCJYD1A,0,0,1,9/19/2012,so disappointing,"I ordered 3 boxes of 18 each.............and opened one box to find they were PODS and not<br />for Keurig, AND I can't return them!!!?????  Yes,the pods fit into the Keurig but<br />the end product is weak and awful.  I am most disappointed",ordered 3 box 18 eachand opened  box find pod notfor keurig not return yesthe pod fit keurig butthe end product weak awful disappointed,0,42,9/19/2012,2012,9,241
